season,episode,character,dialogue
6,24,LEONARD,"There’s beer in the fridge. Anyway, you guys really don’t need to make a big deal."
6,24,SHELDON,"Leonard, you’re being selfish. We need to give you a proper send-off so we’ll have closure when you die at sea and crabs eat your face."
6,24,PENNY,"Sheldon, sweetie, shut up."
6,24,BERNADETTE,"You know, one of the things that helped me get through Howard being in space for so long was getting married before he left."
6,24,PENNY,"Bernadette, sweetie, shut up."
6,24,RAJ,Okay. I have a request to make.
6,24,AMY,And now he can talk. I want to cut open your brain and see what the heck’s going on in there.
6,24,RAJ,"The only person allowed inside this head is Dr. Phil. Anyway, I, I spoke to my new lady friend about meeting you all, and she thought it would be easier for her to start with just one."
6,24,SHELDON,"Oh, gee, I don’t know. My schedule’s a little busy."
6,24,RAJ,"Actually, I was thinking Leonard."
6,24,LEONARD,"Oh. Thank you, Raj. I’d be honoured."
6,24,HOWARD,What the hell? I thought I was your best friend.
6,24,RAJ,"You are, but you’ve got kind of a big personality, with your flashy clothes and your Woody Allen swagger."
6,24,PENNY,"You know, maybe she’d be more comfortable meeting a girl first."
6,24,RAJ,Good idea. Bernadette?
6,24,PENNY,What the hell?
6,24,RAJ,"Well, you’re very pretty. That could be intimidating to another woman."
6,24,PENNY,"Oh, yeah."
6,24,BERNADETTE,"Hey, you don’t think I’m pretty enough to scare your girlfriend?"
6,24,HOWARD,"Calm down, Bernie. You’re very scary."
6,24,AMY,It should be me.
6,24,RAJ,Why? So you can make jokes about cutting open my brain?
6,24,AMY,"A, that was not a joke, that was a sincere request. And B, more importantly, I was the outsider to this group, and I know how frightening that can be. But you guys took me in and made me feel loved, like I was family."
6,24,SHELDON,"Fine, I’ll do it."
6,24,AMY,"So, after I started dating Sheldon, I met Leonard, and then everybody else, and they’ve all been so wonderful to me."
6,24,LUCY,That’s really nice to hear.
6,24,AMY,"Maybe next week, we could all get together."
6,24,RAJ,"Oh, Lucy, you don’t have to answer that. Don’t put her on the spot. She hates that. Am I right? Tell her how much you hate being put on the spot. Go ahead, tell her."
6,24,AMY,Ignore him. He’s a little nervous ’cause he doesn’t think I understand the severity of your social anxiety.
6,24,RAJ,What the? Are you crazy? You can’t talk about social anxiety to someone who has social anxiety. It makes them socially anxious!
6,24,AMY,"Excuse me, but I’m a neurobiologist. I think I’m a little more qualified than you to understand what’s not working in your girlfriend’s brain!"
6,24,RAJ,"Don’t call her my girlfriend. We haven’t discussed whether or not we’re girlfriend or boyfriend yet. Now that it’s out there, are you my girlfriend? By the way, if you say no, I’ll never be happy again. Not to put you on the spot."
6,24,LUCY,I think I have to go to the bathroom.
6,24,RAJ,We might as well go ahead and eat. She’s not coming back anytime soon.
6,24,SHELDON,"This is ridiculous, we’re shopping for a party and this store doesn’t even have a party section."
6,24,PENNY,"Yeah, it does, and here we are."
6,24,SHELDON,"You know, I have to say, Penny, I don’t understand why you of all people are encouraging Leonard to do this."
6,24,PENNY,"Well, I’m his girlfriend, of course I’m gonna support him."
6,24,SHELDON,"Yeah, well, you’re his girlfriend for now. You know, maybe you’re not aware of this, but there is a rich tradition of men at sea finding comfort in each other’s arms and britches."
6,24,PENNY,"Honey, this is a big deal for Leonard, okay? He gets to work with Stephen Hawking. Who, by the way, will not be on the boat. I checked it out."
6,24,SHELDON,"It’s not that big of an opportunity. And even if Hawking’s theories are correct, all they prove is where the universe came from, why everything exists and what its ultimate end will be. I mean, me? I’m interested in the big questions."
6,24,PENNY,"Oh, my God, Sheldon the genius is jealous of Leonard."
6,24,SHELDON,I’m not jealous. I’m just very unhappy that good things are happening for him and not happening for me.
6,24,PENNY,"Look, sweetie, this is a natural thing to feel, okay? But just because good things are happening to Leonard doesn’t take anything away from you. You know what? Let me tell you a little story. Once there was a girl who worked at the Cheesecake Factory, and she wasn’t very good at her job."
6,24,SHELDON,It was you.
6,24,PENNY,"It wasn’t me. But she was also an actress, and we were both up for the same part in a toothpaste commercial. She got it. Look, I was so jealous. But instead of ripping out her fake blonde hair…"
6,24,SHELDON,You ripped out your own fake blonde hair.
6,24,PENNY,"I, looked her in the eye, smiled and said, I’m happy for you. Because that’s what friends do."
6,24,SHELDON,They lie so they don’t look petty.
6,24,PENNY,Yeah.
6,24,SHELDON,How?
